timestamp,temperature,precipitation_accumulated,wind_speed,humidity,pressure,icon
2024-12-06T00:00:00-05:00,-0.19302752293577977,0,1.572798165137617,66,1006.0980275229361,partly-cloudy-night
2024-12-06T01:00:00-05:00,0.4600909090909092,0,1.5585909090909087,64,1006.762954545455,partly-cloudy-night
2024-12-06T02:00:00-05:00,0.7583710407239792,0,2.320678733031674,58,1007.5649773755654,partly-cloudy-night
2024-12-06T03:00:00-05:00,0.2332876712328765,0,1.9772146118721472,60,1008.4285844748852,partly-cloudy-night
2024-12-06T04:00:00-05:00,-0.6368468468468474,0,1.8565765765765778,58,1009.4579729729729,partly-cloudy-night
2024-12-06T05:00:00-05:00,-0.9477272727272722,0,1.7095454545454554,59,1010.3653181818183,partly-cloudy-night
2024-12-06T06:00:00-05:00,-1.0552968036529677,0,1.924474885844751,58,1011.4944748858453,partly-cloudy-night
2024-12-06T07:00:00-05:00,-1.3977625570776233,0,1.6864383561643843,56,1012.5778995433795,partly-cloudy-day
2024-12-06T08:00:00-05:00,-0.9470135746606307,0,1.5466063348416297,53,1013.3957013574653,partly-cloudy-day
2024-12-06T09:00:00-05:00,-0.8516438356164387,0,1.7114611872146124,53,1014.0763013698628,partly-cloudy-day
2024-12-06T10:00:00-05:00,-0.6106976744186053,0,1.5182790697674422,53,1014.3275813953485,partly-cloudy-day
2024-12-06T11:00:00-05:00,-0.5284722222222226,0,1.3035648148148147,49,1013.9607407407403,partly-cloudy-day
2024-12-06T12:00:00-05:00,1.234101382488479,0,1.4694930875576029,43,1013.6483870967753,partly-cloudy-day
2024-12-06T13:00:00-05:00,1.6431818181818207,0,1.3569090909090915,41,1013.5888181818173,partly-cloudy-day
2024-12-06T14:00:00-05:00,0.844343891402716,0,1.5205429864253397,44,1013.6276470588235,partly-cloudy-day
2024-12-06T15:00:00-05:00,0.7376146788990815,0,1.630275229357798,43,1014.2029357798158,partly-cloudy-day
2024-12-06T16:00:00-05:00,-0.1905069124423964,0,1.3630875576036865,44,1014.5508755760378,partly-cloudy-night
2024-12-06T17:00:00-05:00,-0.5177777777777776,0,1.283888888888889,46,1015.254259259258,partly-cloudy-night
2024-12-06T18:00:00-05:00,-0.49,0,1.373333333333333,46,1015.5733333333334,partly-cloudy-night
2024-12-06T19:00:00-05:00,-0.49,0,1.0150000000000001,45,1015.815,partly-cloudy-night
2024-12-06T20:00:00-05:00,-0.35621621621621785,0,1.0136486486486487,46,1015.8021621621626,partly-cloudy-night
2024-12-06T21:00:00-05:00,-0.27035714285714185,0,0.9391517857142858,46,1015.6368749999986,partly-cloudy-night
2024-12-06T22:00:00-05:00,0.04879464285714279,0,1.2846875000000006,47,1015.4076785714287,partly-cloudy-night
2024-12-06T23:00:00-05:00,0.0385135135135136,0,1.5063963963963967,54,1015.4241891891897,partly-cloudy-night
2024-12-07T00:00:00-05:00,-0.1881981981981981,0,1.3638738738738743,57,1015.4395945945956,partly-cloudy-night
2024-12-07T01:00:00-05:00,-0.2774439461883401,0,1.2307174887892378,59,1015.2409865470868,partly-cloudy-night
2024-12-07T02:00:00-05:00,-0.2493749999999988,0,1.3357589285714286,59,1015.230133928571,partly-cloudy-night
2024-12-07T03:00:00-05:00,-0.25517857142857076,0,1.3488392857142855,58,1015.3461607142851,partly-cloudy-night
2024-12-07T04:00:00-05:00,-0.28999999999999926,0,1.1888181818181813,58,1015.2440909090911,partly-cloudy-night
2024-12-07T05:00:00-05:00,-0.3514349775784753,0,1.0484753363228718,59,1015.6270852017949,partly-cloudy-night
2024-12-07T06:00:00-05:00,-0.4653363228699539,0,0.8705829596412564,60,1015.7476233183858,partly-cloudy-night
2024-12-07T07:00:00-05:00,-0.33818181818181836,0,0.9240000000000004,60,1015.6914090909077,partly-cloudy-day
2024-12-07T08:00:00-05:00,0.11531818181818182,0,1.1206363636363634,60,1015.9552727272722,partly-cloudy-day
2024-12-07T09:00:00-05:00,1.0932735426008977,0,1.3847533632286992,58,1016.1723318385654,partly-cloudy-day
2024-12-07T10:00:00-05:00,2.0941704035874404,0,1.0950672645739918,56,1015.765515695067,partly-cloudy-day
2024-12-07T11:00:00-05:00,3.02739726027397,0,1.0430593607305942,53,1015.0356164383559,partly-cloudy-day
2024-12-07T12:00:00-05:00,4.461883408071745,0,1.1204932735426003,48,1014.1728251121083,partly-cloudy-day
2024-12-07T13:00:00-05:00,4.941517857142865,0,1.3098660714285717,48,1013.7308482142852,partly-cloudy-day
2024-12-07T14:00:00-05:00,4.34711111111111,0,1.10928888888889,49,1013.1727999999999,partly-cloudy-day
2024-12-07T15:00:00-05:00,3.983408071748878,0,0.9079820627802698,49,1013.0979372197309,partly-cloudy-day
2024-12-07T16:00:00-05:00,3.0419642857142803,0,1.1554464285714288,53,1013.2695535714291,partly-cloudy-night
2024-12-07T17:00:00-05:00,2.8031111111111073,0,1.1869777777777775,54,1013.2634666666664,partly-cloudy-night
2024-12-07T18:00:00-05:00,2.799999999999998,0,0.7594666666666671,54,1013.1405777777783,partly-cloudy-night
2024-12-07T19:00:00-05:00,2.7466666666666706,0,0.7446222222222229,55,1012.953911111111,partly-cloudy-night
2024-12-07T20:00:00-05:00,2.1260089686098604,0,0.7830941704035875,57,1012.572017937219,partly-cloudy-night
2024-12-07T21:00:00-05:00,1.8031963470319594,0,0.6489954337899546,57,1012.0080821917808,partly-cloudy-night
2024-12-07T22:00:00-05:00,2.0439999999999983,0,0.7899999999999997,57,1011.3527555555561,partly-cloudy-night
